stock_id,year,營業毛利率,營業利益率,ROA(A)稅後息前,ROE(A)－稅後,流動比率,負債比率,總資產週轉次數,應收帳款週轉次數,季底每股稅後淨利,每股淨值(C),當季季底P/E,當季季底P/B,當季季底PSR
1806,201703,16.6,-18.23,-1.69,-3.02,184.72,35.99,0.08,1.2,-0.49,16.05,.,0.52,0.74
1808,201703,19.32,1.88,0.18,0.08,185.95,70.96,0.03,1.96,0.02,22.38,9.73,2.15,1.9
1809,201703,20.8,-2.07,-0.81,-1.08,308.36,22.92,0.11,0.76,-0.22,19,92.43,0.65,0.85
1810,201703,24.55,-0.6,0.31,0.33,113.33,49.27,0.11,0.69,0.06,15.07,.,0.64,0.61
1817,201703,32.31,12.66,2.49,3.04,480.81,16.52,0.25,2.22,0.66,21.65,8.29,1.79,1.27
1903,201703,12.76,-184.57,-0.67,-1.65,40.84,55.25,0,2.65,-0.19,11.37,.,3.12,120.62
1904,201703,18.71,6.34,0.86,1.74,142.5,61.89,0.18,1.2,0.32,17.78,9.87,0.86,0.41
1905,201703,10.37,3.85,0.57,0.84,133.34,38.85,0.19,1.54,0.12,14.09,30,0.78,0.54
1906,201703,10.99,-0.86,0.24,0.28,68.39,16.69,0.04,2.93,0.17,40.96,17.55,0.62,2.78
1907,201703,17.74,3.86,0.22,0.15,82.38,62.77,0.14,1.18,-0.03,18.41,21.08,0.63,0.3
1909,201703,26.28,16.25,1.99,4.77,113.47,65.08,0.16,0.93,0.85,21.9,8.65,1.31,0.83
2002,201703,11.99,7.75,0.81,1.42,101.68,50.91,0.12,6.26,0.24,19.73,14.62,1.31,1.28
2006,201703,14.1,8.03,1.39,2.09,140.01,35.48,0.2,2.75,0.5,23.93,11.54,0.99,0.89
2007,201703,4.45,1.69,0.03,-0.7,83.8,79.43,0.13,9.62,-0.05,5.37,.,1.05,0.47
2008,201703,-7.15,-16.53,-0.73,-1.59,65,46.73,0.04,1.62,-0.24,13.66,.,0.81,2.28
2009,201703,9.34,7.35,0.76,1.13,138.49,34.97,0.13,3.34,0.1,9.68,.,1.08,1.47
2010,201703,9.47,4.6,1.15,1.61,270.05,32.01,0.25,1.02,0.27,16.52,8.95,0.75,0.49
2012,201703,19.26,7.94,0.5,0.77,124.59,62.14,0.19,1.06,0.05,13.06,8.96,1.15,0.46
2013,201703,2.94,0.93,0.2,0.42,109.38,69.95,0.29,1.35,0.09,22.05,43.43,1,0.24
2014,201703,10.07,7.07,2.35,7.09,57.71,67.44,0.32,11.2,0.48,7.12,5.94,1.54,0.44
2015,201703,16.65,13.44,3.58,4.25,327.85,15.87,0.31,5.27,1.24,29.76,10.68,1.74,1.33
2017,201703,18.53,10.07,1.98,2.86,134.16,34.07,0.15,2.76,0.47,12.42,6.62,0.8,0.7
2020,201703,19.19,13.4,2.38,4.16,138.9,44.65,0.2,1.99,0.53,13.76,5.28,1.01,0.71
2022,201703,10.76,3.17,0.35,0.13,74.44,57.64,0.13,3.36,-0.02,7.52,20.63,0.81,0.48
2023,201703,11.53,6.07,1.32,2.92,105.7,64.86,0.22,4.5,0.49,16.17,5.5,0.86,0.4
2024,201703,17.27,11.67,1.3,2.13,154.6,45.35,0.17,1.2,0.25,11.96,7.67,0.8,0.65
2025,201703,7.52,6.07,2.74,4.61,99.03,42.33,0.41,32.76,0.2,4.53,7.28,0.91,0.3
2027,201703,19.2,8.62,0.96,1.96,275.85,68.57,0.29,3,0.24,13.14,6.73,1.37,0.31
2028,201703,8.99,7.53,2.9,12.57,94.91,76.45,0.38,8.15,0.49,4.44,9.41,1.54,0.29
2029,201703,18.61,13.41,3.48,4.11,590.24,14.91,0.34,3.91,1.17,29.34,6.93,1.3,0.9
2030,201703,16.67,10.93,2.22,6.04,126.91,67.12,0.31,3.19,0.74,12.35,6.08,1.05,0.31
2031,201703,18.51,14.66,3.06,6.16,138.95,53.11,0.17,0.91,1.19,19.78,7.47,1.18,0.99
2032,201703,5.13,1.12,0.26,0.32,726.04,18.2,0.32,1.21,0.04,12.86,17.89,0.83,0.5
2033,201703,14.69,4.02,0.34,0.38,206.02,21.57,0.16,0.91,0.05,11.91,24.74,0.79,0.94
2034,201703,11.28,6.77,1.91,2.92,170.02,38.44,0.42,2.56,0.55,18.91,10.21,1.35,0.55
2038,201703,1.24,-2.56,-0.51,-0.88,149.61,35.66,0.17,3.68,-0.16,21.24,.,0.39,0.3
2049,201703,32.28,10.52,0.69,1.34,103.9,54.92,0.13,1,1.02,51.66,39.78,3.69,3
2059,201703,57.57,46.74,1.1,1.25,825.09,11.06,0.11,1.08,1.15,91.96,23.35,4.73,8.99
